S-D-Arch-0958-a-S-19	6
S-D-Arch-0958-b-A-19	6
S-D-Arch-0009-a-S-17	4
S-D-Arch-0009-b-S-17	4
S-D-Arch-0009-c-S-17	8
S-D-Arch-0007-a-S-21	1
S-D-Arch-0958-a-S-19	4
S-D-Bact-0967-d-S-19	1
S-D-Bact-0967-e-S-19	1
S-D-Bact-0967-f-S-19	2
S-D-Bact-0967-g-S-19	8
S-D-Arch-1048-a-A17	16
S-D-Bact-1028-c-A-19	4
S-D-Bact-1028-d-A-19	4
S-D-Bact-1028-e-A-19	4
S-*-Univ-1100-a-S-15	8
S-D-Arch-0010-a-S-17	2
S-*-Univ-1100-a-A-15	8
S-*-Univ-1525-a-A-17	12
S-D-Arch-0938-a-S-19	4
S-D-Bact-0967-a-A-19	1
S-*-Univ-0906-a-A-17	2
S-*-Univ-1053-a-A-16	4
S-D-Arch-0915-a-S-20	1
S-D-Bact-0785-a-A-18	18
S-D-Bact-0101-a-S-20	1
S-D-Bact-0947-a-A-20	1
S-D-Bact-1046-b-A-19	4
